sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BoulwareNegotiationParty@0];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ConcederNegotiationParty@1];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
1,705;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UIAgent@2];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
2,334;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UIAgentExtended@3];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,003;2;;60rounds;Yes;No;1;0,60264;0,60264;0,39736;0,39736;0,60264;[SimpleAgent@4];[0.6026367904966438];[0.6026367904966438];[0.0];[0.0];[0.6026367904966438];[Jobs_util8.xml]
;2;Session genius.core.session.Session@3a0cf688 failed: Failed to execute protocol: Execution failed of CounterOfferHumanNegotiationParty@5:java.lang.NoClassDefFoundError: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com.sun.media.jfxmediaimpl.MediaDisposer$Disposable:[negotiator.parties.CounterOfferHumanNegotiationParty];60rounds;No;;0;;;;;;[CounterOfferHumanNegotiationParty];[0.0];[0.0];;;;[Jobs_util8]
0,002;2;;60rounds;Yes;No;1;0,52839;0,52839;0,47161;0,47161;0,52839;[RandomCounterOfferNegotiationParty@6];[0.5283929760561034];[0.5283929760561034];[0.5283929760561034];[0.0];[0.5283929760561034];[Jobs_util8.xml]
0,000;2;;60rounds;Yes;No;1;0,75144;0,75144;0,24856;0,24856;0,75144;[RandomParty@7];[0.7514405739866012];[0.7514405739866012];[0.7514405739866012];[0.0];[0.7514405739866012];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,81753;0,81753;0,18247;0,18247;0,81753;[RandomParty2@8];[0.8175283555115626];[0.8175283555115626];[0.8175283555115626];[0.0];[0.8175283555115626];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,51171;0,51171;0,48829;0,48829;0,51171;[Agent33@9];[0.5117085403374094];[0.5117085403374094];[0.5117085403374094];[0.0];[0.5117085403374094];[Jobs_util8.xml]
0,004;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHerb@10];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,014;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[AgentNP1@11];[0.9729419795028188];[0.9729419795028188];[0.9729419795028188];[0.0];[0.9729419795028188];[Jobs_util8.xml]
