Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[BoulwareNegotiationParty@0];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[ConcederNegotiationParty@1];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
1,694;2;;60rounds;Yes;No;1;1;1;0;0;1;[UIAgent@2];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
2,399;2;;60rounds;Yes;No;1;1;1;0;0;1;[UIAgentExtended@3];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,55056;0,55056;0,44944;0,44944;0,55056;[SimpleAgent@4];[0.5505616438210532];[0.5505616438210532];[0.0];[0.0];[0.5505616438210532];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,25499;0,25499;0,74501;0,74501;0,25499;[RandomCounterOfferNegotiationParty@6];[0.2549944987220407];[0.2549944987220407];[0.2549944987220407];[0.0];[0.2549944987220407];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,51171;0,51171;0,48829;0,48829;0,51171;[RandomParty@7];[0.511709485213149];[0.511709485213149];[0.511709485213149];[0.0];[0.511709485213149];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,5051;0,5051;0,4949;0,4949;0,5051;[RandomParty2@8];[0.5050972825225011];[0.5050972825225011];[0.5050972825225011];[0.0];[0.5050972825225011];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,2734;0,2734;0,7266;0,7266;0,2734;[Agent33@9];[0.2734003670855418];[0.2734003670855418];[0.2734003670855418];[0.0];[0.2734003670855418];[Jobs_util8.xml]
0,003;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentHerb@10];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,013;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[AgentNP1@11];[0.9729419795028188];[0.9729419795028188];[0.9729419795028188];[0.0];[0.9729419795028188];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgreeableAgent2018@12];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[ATeamAgent@13];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Group2@14];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[ConDAgent@15];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[Exp_Rubick@16];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[FullAgent@17];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IQSun2018@19];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,94588;0,94588;0,05412;0,05412;0,94588;[Lancelot@20];[0.945884903881377];[0.945884903881377];[0.945884903881377];[0.0];[0.945884903881377];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[Agent36@22];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,003;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[PonPokoRampage@23];[0.9729429243785584];[0.9729429243785584];[0.9729429243785584];[0.0];[0.9729429243785584];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Seto@24];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Shiboy@25];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[SMAC_Agent@26];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Yeela@28];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentF@29];[0.9999990551242605];[0.9999990551242605];[0.9999990551242605];[0.0];[0.9999990551242605];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[PonPokoAgent@33];[0.9999995275621303];[0.9999995275621303];[0.9999995275621303];[0.0];[0.9999995275621303];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Rubick@35];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[SimpleAgent@36];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentHP2_main@37];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentLight@38];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Atlas32016@39];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Caduceus@40];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,017;2;;60rounds;Yes;No;1;1;1;0;0;1;[ClockworkAgent@41];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Farma@42];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,004;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[GrandmaAgent@43];[0.9729419795028188];[0.9729419795028188];[0.9729419795028188];[0.0];[0.9729419795028188];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[MaxOops@44];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[MyAgent@45];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Ngent@46];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
4,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[ParsAgent2@47];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[ParsCat@48];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[SYAgent@49];[0.9999995275621303];[0.9999995275621303];[0.9999995275621303];[0.0];[0.9999995275621303];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Terra@50];[0.9999995275621303];[0.9999995275621303];[0.9999995275621303];[0.0];[0.9999995275621303];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,73303;0,73303;0,26697;0,26697;0,73303;[YXAgent@51];[0.7330337607473606];[0.7330337607473606];[0.7330337607473606];[0.0];[0.7330337607473606];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,22794;0,22794;0,77206;0,77206;0,22794;[AgentSmith2016@52];[0.22793695066272923];[0.22793695066272923];[0.22793695066272923];[0.0];[0.22793695066272923];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[PhoenixParty@53];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[CUHKAgent2015@54];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
