sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BoulwareNegotiationParty@0];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ConcederNegotiationParty@1];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
1,172;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UIAgent@2];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
1,982;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UIAgentExtended@3];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;0,55650;0,55650;0,44350;0,44350;0,55650;[SimpleAgent@4];[0.5564995843688173];[0.5564995843688173];[0.0];[0.0];[0.5564995843688173];[Jobs_util2.xml]
;2;Session genius.core.session.Session@60ff4e81 failed: Failed to execute protocol: Execution failed of CounterOfferHumanNegotiationParty@5:java.lang.NoClassDefFoundError: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com.sun.media.jfxmediaimpl.MediaDisposer$Disposable:[negotiator.parties.CounterOfferHumanNegotiationParty];60rounds;No;;0;;;;;;[CounterOfferHumanNegotiationParty];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;0,56776;0,56776;0,43224;0,43224;0,56776;[RandomCounterOfferNegotiationParty@6];[0.5677649621660056];[0.5677649621660056];[0.5677649621660056];[0.0];[0.5677649621660056];[Jobs_util2.xml]
0,003;2;;60rounds;Yes;No;1;0,88348;0,88348;0,11652;0,11652;0,88348;[RandomParty@7];[0.8834836388103244];[0.8834836388103244];[0.8834836388103244];[0.0];[0.8834836388103244];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,77468;0,77468;0,22532;0,22532;0,77468;[RandomParty2@8];[0.7746778440925504];[0.7746778440925504];[0.7746778440925504];[0.0];[0.7746778440925504];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,69855;0,69855;0,30145;0,30145;0,69855;[Agent33@9];[0.6985518905789005];[0.6985518905789005];[0.6985518905789005];[0.0];[0.6985518905789005];[Jobs_util2.xml]
0,004;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHerb@10];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
