sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BoulwareNegotiationParty@408];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ConcederNegotiationParty@409];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
1,011;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UIAgent@410];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
1,984;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UIAgentExtended@411];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,83733;0,83733;0,16267;0,16267;0,83733;[SimpleAgent@412];[0.8373296664640477];[0.8373296664640477];[0.0];[0.0];[0.8373296664640477];[Jobs_util2.xml]
;2;Session genius.core.session.Session@9d7360a failed: Failed to execute protocol: Execution failed of CounterOfferHumanNegotiationParty@413:java.lang.NoClassDefFoundError: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable:[negotiator.parties.CounterOfferHumanNegotiationParty];60rounds;No;;0;;;;;;[CounterOfferHumanNegotiationParty];[0.0];[0.0];;;;[Jobs_util2]
0,000;2;;60rounds;Yes;No;1;0,83990;0,83990;0,16010;0,16010;0,83990;[RandomCounterOfferNegotiationParty@414];[0.8399033252119713];[0.8399033252119713];[0.8399033252119713];[0.0];[0.8399033252119713];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,48348;0,48348;0,51652;0,51652;0,48348;[RandomParty@415];[0.48347707503419507];[0.48347707503419507];[0.48347707503419507];[0.0];[0.48347707503419507];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,48343;0,48343;0,51657;0,51657;0,48343;[RandomParty2@416];[0.4834262659348091];[0.4834262659348091];[0.4834262659348091];[0.0];[0.4834262659348091];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,48170;0,48170;0,51830;0,51830;0,48170;[Agent33@417];[0.4817033589037062];[0.4817033589037062];[0.4817033589037062];[0.0];[0.4817033589037062];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHerb@418];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,021;2;;60rounds;Yes;No;1;0,99593;0,99593;0,00407;0,00407;0,99593;[AgentNP1@419];[0.9959288618140297];[0.9959288618140297];[0.9959288618140297];[0.0];[0.9959288618140297];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgreeableAgent2018@420];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ATeamAgent@421];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Group2@422];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ConDAgent@423];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Exp_Rubick@424];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99738;0,99738;0,00262;0,00262;0,99738;[FullAgent@425];[0.9973784477864589];[0.9973784477864589];[0.0];[0.0];[0.9973784477864589];[Jobs_util2.xml]
