Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[BoulwareNegotiationParty@0];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,004;2;;60rounds;Yes;No;1;1;1;0;0;1;[ConcederNegotiationParty@1];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
1,281;2;;60rounds;Yes;No;1;1;1;0;0;1;[UIAgent@2];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
2,346;2;;60rounds;Yes;No;1;1;1;0;0;1;[UIAgentExtended@3];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;0,81909;0,81909;0,18091;0,18091;0,81909;[SimpleAgent@4];[0.8190883801400497];[0.8190883801400497];[0.0];[0.0];[0.8190883801400497];[Jobs_util2.xml]
;2;Session genius.core.session.Session@6ec101fa failed: Failed to execute protocol: Execution failed of CounterOfferHumanNegotiationParty@5:java.lang.NoClassDefFoundError: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com/sun/media/jfxmediaimpl/MediaDisposer$Disposable: com.sun.media.jfxmediaimpl.MediaDisposer$Disposable:[negotiator.parties.CounterOfferHumanNegotiationParty];60rounds;No;;0;;;;;;[CounterOfferHumanNegotiationParty];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;0,82131;0,82131;0,17869;0,17869;0,82131;[RandomCounterOfferNegotiationParty@6];[0.821312876678642];[0.821312876678642];[0.821312876678642];[0.0];[0.821312876678642];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,1804;0,1804;0,8196;0,8196;0,1804;[RandomParty@7];[0.18040093900664145];[0.18040093900664145];[0.18040093900664145];[0.0];[0.18040093900664145];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,83733;0,83733;0,16267;0,16267;0,83733;[RandomParty2@8];[0.837331124280932];[0.837331124280932];[0.837331124280932];[0.0];[0.837331124280932];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,51996;0,51996;0,48004;0,48004;0,51996;[Agent33@9];[0.5199596476821912];[0.5199596476821912];[0.5199596476821912];[0.0];[0.5199596476821912];[Jobs_util2.xml]
0,005;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentHerb@10];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentNP1@11];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgreeableAgent2018@12];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[ATeamAgent@13];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Group2@14];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[ConDAgent@15];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
